PROBEID	ENTREZID	SYMBOL	GENENAME
1552398_a_at	160364	CLEC12A	C-type lectin domain family 12 member A
1552399_a_at	2972	BRF1	BRF1 general transcription factor IIIB subunit
1552400_a_at	123591	TMEM266	transmembrane protein 266
1552401_a_at	100379661	GRIK1-AS2	GRIK1 antisense RNA 2
1552401_a_at	571	BACH1	BTB domain and CNC homolog 1
1552402_at	163688	CALML6	calmodulin like 6
1552405_at	126206	NLRP5	NLR family pyrin domain containing 5
1552408_at	146852	ODF4	outer dense fiber of sperm tails 4
1552409_a_at	146852	ODF4	outer dense fiber of sperm tails 4
1552410_at	165530	CLEC4F	C-type lectin domain family 4 member F
1552411_at	245909	DEFB106A	defensin beta 106A
1552411_at	503841	DEFB106B	defensin beta 106B
1552412_a_at	245909	DEFB106A	defensin beta 106A
1552412_a_at	503841	DEFB106B	defensin beta 106B
1552414_at	259240	WFDC9	WAP four-disulfide core domain 9
1552415_a_at	259240	WFDC9	WAP four-disulfide core domain 9
1552417_a_at	121441	NEDD1	NEDD1 gamma-tubulin ring complex targeting factor
1552418_at	254173	TTLL10	tubulin tyrosine ligase like 10
1552419_s_at	254173	TTLL10	tubulin tyrosine ligase like 10
1552421_a_at	125972	CALR3	calreticulin 3
1552422_at	220979	ZNF22-AS1	ZNF22 antisense RNA 1
1552423_at	2117	ETV3	ETS variant transcription factor 3
1552424_at	317719	KLHL10	kelch like family member 10
1552425_a_at	317719	KLHL10	kelch like family member 10
1552426_a_at	80213	TM2D3	TM2 domain containing 3
1552427_at	220992	ZNF485	zinc finger protein 485
1552430_at	116966	WDR17	WD repeat domain 17
1552432_at	162387	MFSD6L	major facilitator superfamily domain containing 6 like
1552436_a_at	64072	CDH23	cadherin related 23
1552438_a_at	150709	ANKAR	ankyrin and armadillo repeat containing
1552439_s_at	84465	MEGF11	multiple EGF like domains 11
1552440_at	11318	ACKR5	atypical chemokine receptor 5
1552445_a_at	80712	ESX1	ESX homeobox 1
1552448_a_at	83656	FAM167A-AS1	FAM167A antisense RNA 1
1552449_a_at	147199	SCGB1C1	secretoglobin family 1C member 1
1552449_a_at	653486	SCGB1C2	secretoglobin family 1C member 2
1552450_a_at	285126	DNAJC5G	DnaJ heat shock protein family (Hsp40) member C5 gamma
1552452_at	126248	WDR88	WD repeat domain 88
1552453_a_at	126248	WDR88	WD repeat domain 88
1552455_at	158471	PRUNE2	prune homolog 2 with BCH domain
1552456_a_at	125997	MBD3L2	methyl-CpG binding domain protein 3 like 2
1552457_a_at	92949	ADAMTSL1	ADAMTS like 1
1552458_at	85509	MBD3L1	methyl-CpG binding domain protein 3 like 1
1552459_a_at	85509	MBD3L1	methyl-CpG binding domain protein 3 like 1
1552461_at	169966	TENT5D	terminal nucleotidyltransferase 5D
1552463_at	89778	SERPINB11	serpin family B member 11
1552466_x_at	118421	LINC00161	long intergenic non-protein coding RNA 161
1552467_at	259234	DSCR10	Down syndrome critical region 10
1552468_a_at	259234	DSCR10	Down syndrome critical region 10
1552470_a_at	83451	ABHD11	abhydrolase domain containing 11
1552472_a_at	23527	ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2
1552473_at	2593	GAMT	guanidinoacetate N-methyltransferase
1552474_a_at	2593	GAMT	guanidinoacetate N-methyltransferase
1552476_s_at	113026	PLCD3	phospholipase C delta 3
1552477_a_at	3664	IRF6	interferon regulatory factor 6
1552478_a_at	3664	IRF6	interferon regulatory factor 6
1552480_s_at	5788	PTPRC	protein tyrosine phosphatase receptor type C
1552481_s_at	10905	MAN1A2	mannosidase alpha class 1A member 2
1552482_at	65059	RAPH1	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1
1552484_at	140775	SMCR8	SMCR8-C9orf72 complex subunit
1552485_at	114294	LACTB	lactamase beta
1552486_s_at	114294	LACTB	lactamase beta
1552487_a_at	646	BNC1	basonuclin zinc finger protein 1
1552489_s_at	58538	MPP4	MAGUK p55 scaffold protein 4
1552490_at	246269	AFG1L	AFG1 like ATPase
1552491_at	91734	IDI2	isopentenyl-diphosphate delta isomerase 2
1552493_s_at	1584	CYP11B1	cytochrome P450 family 11 subfamily B member 1
1552494_at	129685	TAF8	TATA-box binding protein associated factor 8
1552496_a_at	23242	COBL	cordon-bleu WH2 repeat protein
1552497_a_at	114836	SLAMF6	SLAM family member 6
1552498_at	7579	ZSCAN20	zinc finger and SCAN domain containing 20
1552499_a_at	7579	ZSCAN20	zinc finger and SCAN domain containing 20
1552501_a_at	151306	GPBAR1	G protein-coupled bile acid receptor 1
1552502_s_at	54933	RHBDL2	rhomboid like 2
1552503_at	80144	FRAS1	Fraser extracellular matrix complex subunit 1
1552504_a_at	84446	BRSK1	BR serine/threonine kinase 1
1552506_at	286204	CRB2	crumbs cell polarity complex component 2
1552507_at	23704	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
1552508_at	23704	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4
1552509_a_at	146894	CD300LG	CD300 molecule like family member g
1552510_at	142680	SLC34A3	solute carrier family 34 member 3
1552511_a_at	57094	CPA6	carboxypeptidase A6
1552514_at	164684	WBP2NL	WBP2 N-terminal like
1552515_at	204851	HIPK1	homeodomain interacting protein kinase 1
1552516_a_at	204851	HIPK1	homeodomain interacting protein kinase 1
1552518_s_at	27085	MTBP	MDM2 binding protein
1552519_at	130399	ACVR1C	activin A receptor type 1C
1552520_at	157753	TMEM74	transmembrane protein 74
1552521_a_at	157753	TMEM74	transmembrane protein 74
1552522_at	201798	TIGD4	tigger transposable element derived 4
1552523_a_at	201798	TIGD4	tigger transposable element derived 4
1552524_at	116969	ART5	ADP-ribosyltransferase 5
1552526_at	196472	GARIN6	golgi associated RAB2 interactor family member 6
1552528_at	84536	LINC01547	long intergenic non-protein coding RNA 1547
1552531_a_at	204801	NLRP11	NLR family pyrin domain containing 11
1552532_a_at	245973	ATP6V1C2	ATPase H+ transporting V1 subunit C2
1552535_at	149461	CLDN19	claudin 19
1552536_at	143187	VTI1A	vesicle transport through interaction with t-SNAREs 1A
1552538_a_at	221458	KIF6	kinesin family member 6
1552540_s_at	115811	DRC10	dynein regulatory complex subunit 10
1552541_at	117289	TAGAP	T cell activation RhoGTPase activating protein
1552542_s_at	117289	TAGAP	T cell activation RhoGTPase activating protein
1552543_a_at	85439	STON2	stonin 2
1552544_at	145264	SERPINA12	serpin family A member 12
1552546_a_at	137994	LETM2	leucine zipper and EF-hand containing transmembrane protein 2
1552548_at	7809	BSND	barttin CLCNK type accessory subunit beta
1552549_a_at	7809	BSND	barttin CLCNK type accessory subunit beta
1552552_s_at	170482	CLEC4C	C-type lectin domain family 4 member C
1552553_a_at	58484	NLRC4	NLR family CARD domain containing 4
1552554_a_at	58484	NLRC4	NLR family CARD domain containing 4
1552555_at	146547	PRSS36	serine protease 36
1552557_a_at	158866	ZDHHC15	zDHHC palmitoyltransferase 15
1552558_a_at	10743	RAI1	retinoic acid induced 1
1552559_a_at	65061	CDK15	cyclin dependent kinase 15
1552562_at	148268	ZNF570	zinc finger protein 570
1552563_a_at			
1552564_at	119369	NUDT9P1	nudix hydrolase 9 pseudogene 1
1552566_at	118663	BTBD16	BTB domain containing 16
1552568_at	83597	RTP3	receptor transporter protein 3
1552569_a_at	83597	RTP3	receptor transporter protein 3
1552570_at	54084	TSPEAR	thrombospondin type laminin G domain and EAR repeats
1552572_a_at	145282	MIPOL1	mirror-image polydactyly 1
1552573_s_at	145282	MIPOL1	mirror-image polydactyly 1
1552575_a_at	135398	C6orf141	chromosome 6 open reading frame 141
1552576_at	200420	ALMS1P1	ALMS1 pseudogene 1
1552578_a_at	140469	MYO3B	myosin IIIB
1552579_a_at	8747	ADAM21	ADAM metallopeptidase domain 21
1552580_at	205860	TRIML2	tripartite motif family like 2
1552582_at	150000	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
1552583_s_at	150000	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)
1552584_at	3594	IL12RB1	interleukin 12 receptor subunit beta 1
1552585_s_at	11036	GTF2A1L	general transcription factor IIA subunit 1 like
1552586_at	162514	TRPV3	transient receptor potential cation channel subfamily V member 3
1552587_at	168975	CNBD1	cyclic nucleotide binding domain containing 1
1552588_a_at	168975	CNBD1	cyclic nucleotide binding domain containing 1
1552590_a_at	94160	ABCC12	ATP binding cassette subfamily C member 12
1552592_at	118856	MMP21	matrix metallopeptidase 21
1552594_at	147744	TMEM190	transmembrane protein 190
1552596_at	246176	GAS2L2	growth arrest specific 2 like 2
1552598_at	93107	KCNG4	potassium voltage-gated channel modifier subfamily G member 4
1552599_at	222659	PXT1	peroxisomal testis enriched protein 1
1552602_at	27091	CACNG5	calcium voltage-gated channel auxiliary subunit gamma 5
1552604_at	54143	LINC00308	long intergenic non-protein coding RNA 308
1552605_s_at	54143	LINC00308	long intergenic non-protein coding RNA 308
1552607_at	100132967	FAM223A	family with sequence similarity 223 member A
1552607_at	286967	FAM223B	family with sequence similarity 223 member B
1552608_at	259239	WFDC11	WAP four-disulfide core domain 11
1552609_s_at	282616	IFNL2	interferon lambda 2
1552609_s_at	282617	IFNL3	interferon lambda 3
1552610_a_at	3716	JAK1	Janus kinase 1
1552611_a_at	3716	JAK1	Janus kinase 1
1552612_at	56990	CDC42SE2	CDC42 small effector 2
1552613_s_at	56990	CDC42SE2	CDC42 small effector 2
1552615_at	32	ACACB	acetyl-CoA carboxylase beta
1552616_a_at	32	ACACB	acetyl-CoA carboxylase beta
1552617_a_at	64326	COP1	COP1 E3 ubiquitin ligase
1552618_at	10228	STX6	syntaxin 6
1552619_a_at	54443	ANLN	anillin, actin binding protein
1552620_at	163778	SPRR4	small proline rich protein 4
1552621_at	246721	POLR2J2	RNA polymerase II subunit J2
1552621_at	548644	POLR2J3	RNA polymerase II subunit J3
1552622_s_at	246721	POLR2J2	RNA polymerase II subunit J2
1552622_s_at	441259	PMS2P13	PMS1 homolog 2, mismatch repair system component pseudogene 13
1552622_s_at	5383	PMS2P5	PMS1 homolog 2, mismatch repair system component pseudogene 5
1552622_s_at	548644	POLR2J3	RNA polymerase II subunit J3
1552623_at	84941	HSH2D	hematopoietic SH2 domain containing
1552625_a_at	51095	TRNT1	tRNA nucleotidyl transferase 1
1552626_a_at	81615	TMEM163	transmembrane protein 163
1552627_a_at	394	ARHGAP5	Rho GTPase activating protein 5
1552628_a_at	64224	HERPUD2	HERPUD family member 2
1552629_a_at	23210	JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase
1552630_a_at	10847	SRCAP	Snf2 related CREBBP activator protein
1552631_a_at	9064	MAP3K6	mitogen-activated protein kinase kinase kinase 6
1552632_a_at	22901	ARSG	arylsulfatase G
1552633_at	94039	ZNF101	zinc finger protein 101
1552634_a_at	94039	ZNF101	zinc finger protein 101
1552637_at	5781	PTPN11	protein tyrosine phosphatase non-receptor type 11
1552639_at	113730	KLHDC7B	kelch domain containing 7B
1552641_s_at	55210	ATAD3A	ATPase family AAA domain containing 3A
1552641_s_at	83858	ATAD3B	ATPase family AAA domain containing 3B
1552643_at	199777	ZNF626	zinc finger protein 626
1552644_a_at	80012	PHC3	polyhomeotic homolog 3
1552646_at	3590	IL11RA	interleukin 11 receptor subunit alpha
1552648_a_at	8797	TNFRSF10A	TNF receptor superfamily member 10a
1552649_a_at	100529207	RAD51L3-RFFL	RAD51L3-RFFL readthrough
1552649_a_at	117584	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
1552651_a_at	100529207	RAD51L3-RFFL	RAD51L3-RFFL readthrough
1552651_a_at	117584	RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase
1552652_at	89781	HPS4	HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
1552656_s_at	127933	UHMK1	U2AF homology motif kinase 1
1552657_a_at	84203	TXNDC2	thioredoxin domain containing 2
1552658_a_at	89795	NAV3	neuron navigator 3
1552660_a_at	55322	C5orf22	chromosome 5 open reading frame 22
