PROBEID	ENTREZID	SYMBOL	GENENAME
1556629_a_at	6616	SNAP25	synaptosome associated protein 25
1556630_at	255082	CASC2	cancer susceptibility 2
1556633_at	284677	SNHG28	small nucleolar RNA host gene 28
1556636_at			
1556638_at	5081	PAX7	paired box 7
1556639_at	100996455	LINC02724	long intergenic non-protein coding RNA 2724
1556641_at	57709	SLC7A14	solute carrier family 7 member 14
1556643_at	105221694	BISPR	BST2 interferon stimulated positive regulator
1556645_s_at	8795	TNFRSF10B	TNF receptor superfamily member 10b
1556646_at	84516	DCTN5	dynactin subunit 5
1556648_a_at	283025	LINC01553	long intergenic non-protein coding RNA 1553
1556649_at			
1556650_at			
1556651_at			
1556653_at	150709	ANKAR	ankyrin and armadillo repeat containing
1556654_at	51755	CDK12	cyclin dependent kinase 12
1556655_s_at	51755	CDK12	cyclin dependent kinase 12
1556656_at			
1556657_at			
1556658_a_at			
1556659_at			
1556661_at	150384	GTSE1-DT	GTSE1 divergent transcript
1556662_at	100506142	RHOQ-AS1	RHOQ antisense RNA 1
1556663_s_at	100506142	RHOQ-AS1	RHOQ antisense RNA 1
1556665_at	319089	TTC6	tetratricopeptide repeat domain 6
1556666_a_at	319089	TTC6	tetratricopeptide repeat domain 6
1556667_at	348751	FTCDNL1	formiminotransferase cyclodeaminase N-terminal like
1556669_a_at			
1556670_at	100505624	GTF3C2-AS1	GTF3C2 antisense RNA 1
1556671_s_at	100505624	GTF3C2-AS1	GTF3C2 antisense RNA 1
1556672_a_at	10180	RBM6	RNA binding motif protein 6
1556675_s_at	100507584	LINC01016	long intergenic non-protein coding RNA 1016
1556676_a_at			
1556677_at			
1556678_a_at			
1556679_at			
1556682_s_at			
1556683_x_at			
1556684_at	85495	RPPH1	ribonuclease P RNA component H1
1556685_at			
1556687_a_at	9071	CLDN10	claudin 10
1556689_a_at	54361	WNT4	Wnt family member 4
1556690_s_at	7593	MZF1	myeloid zinc finger 1
1556694_a_at			
1556695_a_at	441094	NR2F1-AS1	NR2F1 regulatory antisense RNA 1
1556696_s_at	441094	NR2F1-AS1	NR2F1 regulatory antisense RNA 1
1556697_at	285513	GPRIN3	GPRIN family member 3
1556698_a_at	285513	GPRIN3	GPRIN family member 3
1556699_at			
1556700_a_at			
1556701_at			
1556704_s_at	100133920	LOC100133920	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene
1556704_s_at	100996643	LOC100996643	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene
1556704_s_at	101928195	LOC101928195	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene
1556704_s_at	102724580	LOC102724580	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene
1556704_s_at	286297	LOC286297	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like pseudogene
1556706_at			
1556709_a_at	283887	LINC02175	long intergenic non-protein coding RNA 2175
1556711_at	144809	FAM216B	family with sequence similarity 216 member B
1556713_at			
1556715_at	5635	PRPSAP1	phosphoribosyl pyrophosphate synthetase associated protein 1
1556717_at	105369343	MIR194-2HG	MIR194-2 host gene
1556718_s_at	105369343	MIR194-2HG	MIR194-2 host gene
1556721_at	284805	C20orf203	chromosome 20 open reading frame 203
1556722_a_at	284805	C20orf203	chromosome 20 open reading frame 203
1556724_at	100128398	ZNF606-AS1	ZNF606 antisense RNA 1
1556725_a_at	100128398	ZNF606-AS1	ZNF606 antisense RNA 1
1556727_at	768206	PRCD	photoreceptor disc component
1556728_at			
1556730_at			
1556732_at	27436	EML4	EMAP like 4
1556734_at			
1556735_at			
1556736_at	100129858	SCOC-AS1	SCOC antisense RNA 1
1556737_at	388387	LINC00671	long intergenic non-protein coding RNA 671
1556739_at	283796	GOLGA8IP	golgin A8 family member I, pseudogene
1556740_at	100506475	EGFLAM-AS2	EGFLAM antisense RNA 2
1556742_at	728411	GUSBP1	GUSB pseudogene 1
1556743_at			
1556744_a_at			
1556747_a_at	101928343	LOC101928343	uncharacterized LOC101928343
1556748_x_at	101928343	LOC101928343	uncharacterized LOC101928343
1556749_at			
1556750_at			
1556753_s_at			
1556754_at	100132987	LINC00856	long intergenic non-protein coding RNA 856
1556755_s_at	105375650	MIR3150BHG	MIR3150B host gene
1556757_a_at	151254	CATSPERT	catsper channel auxiliary subunit tau
1556758_at	54906	TASOR2	transcription activation suppressor family member 2
1556759_at			
1556760_a_at			
1556761_at			
1556762_a_at			
1556763_at			
1556764_s_at			
1556766_at	157697	ERICH1	glutamate rich 1
1556768_at	100144604	LINC00930	long intergenic non-protein coding RNA 930
1556769_a_at	105371967	DLGAP1-AS6	DLGAP1 antisense RNA 6
1556770_a_at	222235	FBXL13	F-box and leucine rich repeat protein 13
1556771_a_at	415056	CNTFR-AS1	CNTFR antisense RNA 1
1556773_at			
1556775_at			
1556776_a_at	101928238	ZNF426-DT	ZNF426 divergent transcript
1556776_a_at	162998	OR7D2	olfactory receptor family 7 subfamily D member 2
1556777_a_at	101928238	ZNF426-DT	ZNF426 divergent transcript
1556777_a_at	162998	OR7D2	olfactory receptor family 7 subfamily D member 2
1556778_at			
1556779_s_at			
1556781_at			
1556783_a_at			
1556784_at			
1556786_at	8654	PDE5A	phosphodiesterase 5A
1556787_s_at	8654	PDE5A	phosphodiesterase 5A
1556789_a_at	100506215	PAXBP1-AS1	PAXBP1 antisense RNA 1
1556793_a_at	128876	SACK1C	scaffolding CK1 anchoring protein C
1556794_at			
1556796_at	100506275	KRABD1-AS1	KRABD1 antisense RNA 1
1556797_at	386597	GRASLND	glycosaminoglycan regulatory associated long non-coding RNA
1556798_a_at	386597	GRASLND	glycosaminoglycan regulatory associated long non-coding RNA
1556800_a_at			
1556801_at	400794	LRRC52-AS1	LRRC52 antisense RNA 1
1556803_at	55703	POLR3B	RNA polymerase III subunit B
1556804_s_at	55703	POLR3B	RNA polymerase III subunit B
1556805_at			
1556806_at			
1556808_at	5911	RAP2A	RAP2A, member of RAS oncogene family
1556809_a_at	5911	RAP2A	RAP2A, member of RAS oncogene family
1556810_a_at			
1556812_a_at			
1556813_at			
1556814_a_at			
1556815_at			
1556817_a_at			
1556818_at			
1556820_a_at	8847	DLEU2	deleted in lymphocytic leukemia 2
1556821_x_at	8847	DLEU2	deleted in lymphocytic leukemia 2
1556822_s_at	105372483	ZNF497-AS1	ZNF497 antisense RNA 1
1556823_s_at			
1556824_at			
1556826_s_at	374946	DRAXIN	dorsal inhibitory axon guidance protein
1556827_at	339929	LPP-AS2	LPP antisense RNA 2
1556828_at			
1556829_at	100287227	TIPARP-AS1	TIPARP antisense RNA 1
1556831_at	1778	DYNC1H1	dynein cytoplasmic 1 heavy chain 1
1556832_at	101927314	MIR2113HG	MIR2113 host gene
1556834_at	100652770	DSG2-AS1	DSG2 antisense RNA 1
1556835_s_at	100652770	DSG2-AS1	DSG2 antisense RNA 1
1556836_at			
1556837_a_at			
1556839_s_at	105370792	LOC105370792	uncharacterized LOC105370792
1556841_a_at	160428	ALDH1L2	aldehyde dehydrogenase 1 family member L2
1556842_at	105377782	LOC105377782	uncharacterized LOC105377782
1556844_at	100132078	LOC100132078	uncharacterized LOC100132078
1556846_at			
1556847_s_at			
1556849_at			
1556850_at	80184	CEP290	centrosomal protein 290
1556851_at			
1556852_a_at			
1556854_at	100874205	ATP11A-AS1	ATP11A antisense RNA 1
1556855_a_at	100874205	ATP11A-AS1	ATP11A antisense RNA 1
1556856_at			
1556859_a_at	285740	PHACTR2-AS1	PHACTR2 antisense RNA 1
1556864_at	79600	TCTN1	tectonic family member 1
1556865_at			
1556867_at	10904	BLCAP	BLCAP apoptosis inducing factor
1556872_s_at	440073	IQSEC3	IQ motif and Sec7 domain ArfGEF 3
1556873_at	51320	MEX3C	mex-3 RNA binding family member C
1556874_a_at	51320	MEX3C	mex-3 RNA binding family member C
1556876_s_at	644623	TPTE2P2	TPTE2 pseudogene 2
1556877_at			
1556879_at			
1556881_at	100271715	ARHGEF33	Rho guanine nucleotide exchange factor 33
1556883_a_at	101929800	LOC101929800	uncharacterized LOC101929800
1556883_a_at	440896	LINC03025	long intergenic non-protein coding RNA 3025
1556883_a_at	5239	PGM5	phosphoglucomutase 5
1556884_a_at	100861552	LINC00558	long intergenic non-protein coding RNA 558
1556885_at	143903	LAYN	layilin
1556886_a_at	143903	LAYN	layilin
1556887_at	348808	NPHP3-AS1	NPHP3 antisense RNA 1
1556888_at			
1556889_s_at			
1556891_at	114815	SORCS1	sortilin related VPS10 domain containing receptor 1
1556894_at	64943	NT5DC2	5'-nucleotidase domain containing 2
1556895_a_at	64943	NT5DC2	5'-nucleotidase domain containing 2
1556896_at	284751	LINC01270	long intergenic non-protein coding RNA 1270
1556898_at			
1556899_at	100505758	PRMT5-AS1	PRMT5 antisense RNA 1
1556900_at	149773	APCDD1L-DT	APCDD1L divergent transcript
1556901_s_at	149773	APCDD1L-DT	APCDD1L divergent transcript
1556903_at	101928335	LOC101928335	uncharacterized LOC101928335
1556904_at			
1556905_at	84765	ZNF577	zinc finger protein 577
1556907_at	133923	ZNF474	zinc finger protein 474
1556909_at	100505853	LINC01898	long intergenic non-protein coding RNA 1898
1556911_at	100874291	ALMS1-IT1	ALMS1 intronic transcript 1
1556912_at	9815	GIT2	GIT ArfGAP 2
1556913_a_at	9815	GIT2	GIT ArfGAP 2
1556914_at	100652911	LINC01838	long intergenic non-protein coding RNA 1838
1556916_a_at	101928651	LINC03152	long intergenic non-protein coding RNA 3152
1556917_a_at	101928651	LINC03152	long intergenic non-protein coding RNA 3152
1556919_at	3953	LEPR	leptin receptor
1556920_s_at	646168	LRRC77P	leucine rich repeat containing 77, pseudogene
1556921_at	101927138	PTPRT-AS1	PTPRT antisense RNA 1
1556923_at			
1556924_at	65072	CFLAR-AS1	CFLAR antisense RNA 1
1556925_at	9126	SMC3	structural maintenance of chromosomes 3
1556927_at	54207	KCNK10	potassium two pore domain channel subfamily K member 10
1556928_at			
1556929_at	64895	PAPOLG	poly(A) polymerase gamma
1556931_at	100874292	CDC42-IT1	CDC42 intronic transcript 1
1556932_at			
1556933_at			
1556935_at			
1556936_at	100506834	GAS1RR	GAS1 adjacent regulatory RNA
1556937_at			
1556938_a_at			
1556940_at			
1556941_a_at			
1556942_at			
1556944_at			
1556945_a_at			
1556947_at			
1556950_s_at	5269	SERPINB6	serpin family B member 6
1556951_at			
1556952_at			
1556954_at	283854	CASC22	cancer susceptibility 22
1556956_at	375616	KCP	kielin cysteine rich BMP regulator
1556958_at			
1556959_at	647589	ANHX	anomalous homeobox
1556960_a_at	647589	ANHX	anomalous homeobox
1556962_at			
1556963_at			
1556964_s_at			
1556967_at	79683	ZDHHC14	zDHHC palmitoyltransferase 14
1556969_at	255101	CFAP65	cilia and flagella associated protein 65
1556970_at			
1556971_a_at			
1556972_at			
1556976_s_at	105375273	LINC02838	long intergenic non-protein coding RNA 2838
1556978_a_at	129685	TAF8	TATA-box binding protein associated factor 8
1556980_at			
1556982_at			
1556983_a_at			
1556984_at			
1556985_at			
1556986_at	26716	OR2H1	olfactory receptor family 2 subfamily H member 1
1556987_s_at	26716	OR2H1	olfactory receptor family 2 subfamily H member 1
1556988_s_at	9557	CHD1L	chromodomain helicase DNA binding protein 1 like
1556989_at			
1556990_at	64065	PERP	p53 apoptosis effector related to PMP22
1556992_at	550112	UBA6-DT	UBA6 divergent transcript
1556992_at	550113	LOC550113	uncharacterized LOC550113
1556994_at			
1556996_at	54741	LEPROT	leptin receptor overlapping transcript
1556997_a_at	3953	LEPR	leptin receptor
1556997_a_at	54741	LEPROT	leptin receptor overlapping transcript
1556999_at	285045	LINC00486	long intergenic non-protein coding RNA 486
1557000_at	339768	ESPNL	espin like
1557002_x_at	339768	ESPNL	espin like
1557003_at	153657	TTC23L	tetratricopeptide repeat domain 23 like
1557004_at	285389	LINC02028	long intergenic non-protein coding RNA 2028
1557007_a_at			
1557008_at	340107	LINC02239	long intergenic non-protein coding RNA 2239
1557009_a_at	340107	LINC02239	long intergenic non-protein coding RNA 2239
1557012_a_at			
1557014_a_at	158228	FAM201A	family with sequence similarity 201 member A
1557016_a_at	163747	CIMAP2	ciliary microtubule associated protein 2
1557017_at	101929607	LINC01990	long intergenic non-protein coding RNA 1990
1557018_a_at	101929607	LINC01990	long intergenic non-protein coding RNA 1990
1557021_s_at	100507250	LOC100507250	uncharacterized LOC100507250
1557022_at	101928989	MIR4300HG	MIR4300 host gene
1557024_at			
1557025_a_at			
1557026_at	101927787	LOC101927787	uncharacterized LOC101927787
1557027_at	105371401	LOC105371401	uncharacterized LOC105371401
1557029_at	101927813	HMMR-AS1	HMMR antisense RNA 1
1557030_at	2549	GAB1	GRB2 associated binding protein 1
1557031_at	285498	RNF212	ring finger protein 212
1557034_s_at	100287171	WASHC1	WASH complex subunit 1
1557036_at	22890	ZBTB1	zinc finger and BTB domain containing 1
1557037_a_at	100289373	UBAC2-AS1	UBAC2 antisense RNA 1
1557038_s_at	100289373	UBAC2-AS1	UBAC2 antisense RNA 1
1557042_at	3786	KCNQ3	potassium voltage-gated channel subfamily Q member 3
1557044_at	100506930	LINC00665	long intergenic non-protein coding RNA 665
1557046_x_at	100506930	LINC00665	long intergenic non-protein coding RNA 665
1557047_at	55689	YEATS2	YEATS domain containing 2
1557049_at	149478	BTBD19	BTB domain containing 19
1557050_at			
1557051_s_at	100506311	HOTAIRM1	HOXA transcript antisense RNA, myeloid-specific 1
1557052_at	30851	TAX1BP3	Tax1 binding protein 3
1557053_s_at	7327	UBE2G2	ubiquitin conjugating enzyme E2 G2
1557055_s_at	643837	LINC01128	long intergenic non-protein coding RNA 1128
1557056_at	133491	C5orf47	chromosome 5 open reading frame 47
1557057_a_at	133491	C5orf47	chromosome 5 open reading frame 47
1557059_at	254128	NIFK-AS1	NIFK antisense RNA 1
1557060_at	148756	OVAAL	ovarian adenocarcinoma amplified long non-coding RNA
1557062_at	100129195	ZSCAN16-AS1	ZSCAN16 antisense RNA 1
1557063_at	400242	DICER1-AS1	DICER1 antisense RNA 1
1557064_s_at	138050	HGSNAT	heparan-alpha-glucosaminide N-acetyltransferase
1557065_at	56252	YLPM1	YLP motif containing 1
1557066_at	55692	LUC7L	LUC7 like
1557067_s_at	55692	LUC7L	LUC7 like
1557068_at	100505782	LOC100505782	uncharacterized LOC100505782
1557070_at	100130275	TFAP2A-AS1	TFAP2A antisense RNA 1
1557071_s_at	51667	NUB1	negative regulator of ubiquitin like proteins 1
1557073_s_at	146057	TTBK2	tau tubulin kinase 2
1557077_a_at			
1557078_at	162394	SLFN5	schlafen family member 5
1557079_at	9358	ITGBL1	integrin subunit beta like 1
1557080_s_at	9358	ITGBL1	integrin subunit beta like 1
1557081_at	58517	RBM25	RNA binding motif protein 25
1557085_at	219990	OOSP2	oocyte secreted protein 2
1557089_at	3800	KIF5C	kinesin family member 5C
1557091_at	284358	MAMSTR	MEF2 activating motif and SAP domain containing transcriptional regulator
1557094_at	653145	ANXA8	annexin A8
1557098_s_at	768096	HAR1A	highly accelerated region 1A
1557099_at			
1557100_s_at	25831	HECTD1	HECT domain E3 ubiquitin protein ligase 1
1557103_a_at	114783	LMTK3	lemur tyrosine kinase 3
1557104_at	100101467	ZSCAN30	zinc finger and SCAN domain containing 30
1557105_a_at	100101467	ZSCAN30	zinc finger and SCAN domain containing 30
1557107_at	286002	SLC26A4-AS1	SLC26A4 antisense RNA 1
1557112_a_at	55275	VPS53	VPS53 subunit of GARP complex
1557113_at	9252	RPS6KA5	ribosomal protein S6 kinase A5
1557114_a_at	284385	ZNF561-AS1	ZNF561 antisense RNA 1
1557116_at	80830	APOL6	apolipoprotein L6
1557117_at	100507398	INTS6-AS1	INTS6 antisense RNA 1
1557118_a_at	100507398	INTS6-AS1	INTS6 antisense RNA 1
1557119_a_at	284346	ZNF575	zinc finger protein 575
1557120_at	1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
1557121_s_at	63897	HEATR6	HEAT repeat containing 6
1557122_s_at	2561	GABRB2	gamma-aminobutyric acid type A receptor subunit beta2
1557123_a_at	150356	CHADL	chondroadherin like
1557124_at	440104	TMEM198B	transmembrane protein 198B (pseudogene)
1557126_a_at	5337	PLD1	phospholipase D1
1557128_at	374393	FAM111B	FAM111 trypsin like peptidase B
1557129_a_at	374393	FAM111B	FAM111 trypsin like peptidase B
1557131_at	254100	ZNRD2-DT	ZNRD2 divergent transcript
1557132_at	116966	WDR17	WD repeat domain 17
1557133_at	286411	LINC00632	long intergenic non-protein coding RNA 632
1557135_at			
1557136_at	84239	ATP13A4	ATPase 13A4
1557137_at	200728	TMEM17	transmembrane protein 17
1557139_at	100506660	DDX11-AS1	DDX11 antisense RNA 1
1557141_at	100526825	INMT-MINDY4	INMT-MINDY4 readthrough (NMD candidate)
1557141_at	84182	MINDY4	MINDY lysine 48 deubiquitinase 4
1557143_at	114784	CSMD2	CUB and Sushi multiple domains 2
1557145_at	11329	STK38	serine/threonine kinase 38
1557146_a_at	146336	SSTR5-AS1	SSTR5 antisense RNA 1
1557147_a_at	101928837	TSKU-AS1	TSKU antisense RNA 1
1557148_at	81502	HM13	histocompatibility minor 13
1557149_at			
1557151_at			
1557154_at			
1557155_a_at			
1557158_s_at	58508	KMT2C	lysine methyltransferase 2C
1557161_at	100132735	FILNC1	FOXO induced long non-coding RNA 1
1557162_at	146378	FIMP1	fertilization-influencing membrane protein 1
1557164_a_at			
1557165_s_at	23276	KLHL18	kelch like family member 18
1557166_at	27250	PDCD4	programmed cell death 4
1557167_at	493812	HCG11	HLA complex group 11
1557169_x_at	493812	HCG11	HLA complex group 11
1557170_at	284086	NEK8	NIMA related kinase 8
1557172_x_at	284086	NEK8	NIMA related kinase 8
1557174_a_at	134728	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1
1557176_a_at	145407	ARMH4	armadillo like helical domain containing 4
1557177_at	100506258	SYT9-AS1	SYT9 antisense RNA 1
1557179_s_at			
1557180_at	399947	C11orf87	chromosome 11 open reading frame 87
1557181_s_at	399947	C11orf87	chromosome 11 open reading frame 87
1557185_at	53373	TPCN1	two pore segment channel 1
1557186_s_at	53373	TPCN1	two pore segment channel 1
1557189_at	1773	DNASE1	deoxyribonuclease 1
1557190_at			
1557192_at	100874058	COX10-DT	COX10 divergent transcript
1557193_at			
1557194_a_at	23132	RAD54L2	RAD54 like 2
1557195_at			
1557196_a_at			
1557197_a_at	3958	LGALS3	galectin 3
1557203_at	645974	PABPC1L2B	poly(A) binding protein cytoplasmic 1 like 2B
1557206_at	284071	MEIOC	meiosis specific with coiled-coil domain
1557207_s_at	283177	B3GAT1-DT	B3GAT1 divergent transcript
1557208_at	219731	PROSER2-AS1	PROSER2 antisense RNA 1
1557211_a_at	283592	FAM181A-AS1	FAM181A antisense RNA 1
1557212_at	440952	EIF1B-AS1	EIF1B antisense RNA 1
1557214_at			
1557215_at	100506433	LINC00648	long intergenic non-protein coding RNA 648
1557217_a_at	2187	FANCB	FA complementation group B
1557218_s_at	2187	FANCB	FA complementation group B
1557219_at	100506827	LINC02475	long intergenic non-protein coding RNA 2475
1557222_at			
1557223_at	11030	RBPMS	RNA binding protein, mRNA processing factor
1557224_at			
1557225_at	374569	ASPG	asparaginase
1557226_a_at	374569	ASPG	asparaginase
1557227_s_at	7175	TPR	translocated promoter region, nuclear basket protein
1557228_at	254102	EHBP1L1	EH domain binding protein 1 like 1
1557232_at	102723722	LOC102723722	uncharacterized LOC102723722
1557233_at	285441	F11-AS1	F11 antisense RNA 1
1557235_at	107161159	LINC02415	long intergenic non-protein coding RNA 2415
1557236_at	80830	APOL6	apolipoprotein L6
1557238_s_at			
1557239_at	56987	BBX	BBX high mobility group box domain containing
1557240_a_at			
1557241_a_at			
1557242_at			
1557244_a_at			
1557246_at	57498	KIDINS220	kinase D interacting substrate 220
1557248_at	730051	ZNF814	zinc finger protein 814
1557252_at			
1557256_a_at	2560	GABRB1	gamma-aminobutyric acid type A receptor subunit beta1
1557257_at	8915	BCL10	BCL10 immune signaling adaptor
1557258_a_at	8915	BCL10	BCL10 immune signaling adaptor
1557260_a_at	84911	ZNF382	zinc finger protein 382
1557261_at	339005	WHAMMP3	WHAMM pseudogene 3
1557261_at	440253	WHAMMP2	WHAMM pseudogene 2
1557262_at	102724814	AP1G2-AS1	AP1G2 antisense RNA 1
1557263_s_at	102724814	AP1G2-AS1	AP1G2 antisense RNA 1
1557265_at			
1557267_s_at	348654	GEN1	GEN1 structure-specific endonuclease
1557270_at			
1557274_at			
1557275_a_at	727910	TLCD2	TLC domain containing 2
1557276_at	100507584	LINC01016	long intergenic non-protein coding RNA 1016
1557277_a_at	100507584	LINC01016	long intergenic non-protein coding RNA 1016
1557278_s_at	3842	TNPO1	transportin 1
1557279_at	6453	ITSN1	intersectin 1
1557280_s_at	6453	ITSN1	intersectin 1
1557283_a_at	162655	ZNF519	zinc finger protein 519
1557285_at	374	AREG	amphiregulin
1557286_at			
1557287_at			
1557289_s_at	389524	GTF2IRD2B	GTF2I repeat domain containing 2B
1557289_s_at	84163	GTF2IRD2	GTF2I repeat domain containing 2
1557290_at	442523	DPY19L2P4	DPY19L2 pseudogene 4
1557292_a_at	55283	MCOLN3	mucolipin TRP cation channel 3
1557293_at	440993	MIR570HG	MIR570 host gene
1557295_a_at			
1557296_at	440101	FLJ12825	uncharacterized LOC440101
1557297_at			
1557300_s_at			
1557301_a_at	100505591	LRRC3C	leucine rich repeat containing 3C
1557302_at	92285	ZNF585B	zinc finger protein 585B
1557303_at	30833	NT5C	5', 3'-nucleotidase, cytosolic
1557305_at	6867	TACC1	transforming acidic coiled-coil containing protein 1
1557309_at	163486	DENND1B	DENN domain containing 1B
1557311_at			
1557312_at	283416	LINC01465	long intergenic non-protein coding RNA 1465
1557314_at	442524	DPY19L2P3	DPY19L2 pseudogene 3
1557315_a_at			
1557316_at			
1557319_at			
1557321_a_at	440854	CAPN14	calpain 14
1557322_at	7773	ZNF230	zinc finger protein 230
1557325_at			
1557326_at			
1557328_at	283665	ALDH1A2-AS1	ALDH1A2 antisense RNA 1
1557329_at			
1557330_at	103581031	CASC23	cancer susceptibility 23
1557331_at	84172	POLR1B	RNA polymerase I subunit B
1557334_a_at	101929225	MCM8-AS1	MCM8 antisense RNA 1
1557335_at			
1557336_at	101927111	SUCLG2-DT	SUCLG2 divergent transcript
1557338_x_at	101927111	SUCLG2-DT	SUCLG2 divergent transcript
1557339_at	101929074	PIK3CD-AS2	PIK3CD antisense RNA 2
1557341_x_at	101929074	PIK3CD-AS2	PIK3CD antisense RNA 2
1557342_a_at	400931	MIRLET7BHG	MIRLET7B and MIRLET7A3 host gene
1557343_at			
1557345_at			
1557346_a_at	339263	LINC02693	long intergenic non-protein coding RNA 2693
1557347_at	79648	MCPH1	microcephalin 1
1557348_at	105379362	LOC105379362	uncharacterized LOC105379362
1557349_at	473	RERE	arginine-glutamic acid dipeptide repeats
1557350_at	10146	G3BP1	G3BP stress granule assembly factor 1
1557352_at	6713	SQLE	squalene epoxidase
1557353_at			
1557354_at	6654	SOS1	SOS Ras/Rac guanine nucleotide exchange factor 1
1557357_at	440944	THUMPD3-AS1	THUMPD3 antisense RNA 1
1557359_at	285758	MROCKI	MARCKS cis regulating lncRNA promoter of cytokines and inflammation
1557360_at	10128	LRPPRC	leucine rich pentatricopeptide repeat containing
1557362_at			
1557363_a_at			
1557366_at	284047	CCDC144BP	coiled-coil domain containing 144B, pseudogene
1557366_at	348254	CCDC144CP	coiled-coil domain containing 144C, pseudogene
1557369_a_at	285401	LINC00698	long intergenic non-protein coding RNA 698
1557370_s_at	23077	MYCBP2	MYC binding protein 2
1557371_a_at	158376	SPAAR	small regulatory polypeptide of amino acid response
1557372_at	90423	ATP6V1E2	ATPase H+ transporting V1 subunit E2
1557373_at	339505	LINC01141	long intergenic non-protein coding RNA 1141
1557374_at	10060	ABCC9	ATP binding cassette subfamily C member 9
1557375_at			
1557380_at	119385	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11
1557382_x_at	119385	AGAP11	ArfGAP with GTPase domain, ankyrin repeat and PH domain 11
1557383_a_at			
1557384_at	7690	ZNF131	zinc finger protein 131
1557385_at	84140	FAM161A	FAM161 centrosomal protein A
1557386_at	100507600	LCT-AS1	LCT antisense RNA 1
1557388_at	25914	RTTN	rotatin
1557389_at	100505839	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1
1557394_at	22839	DLGAP4	DLG associated protein 4
1557395_at	255130	IGFBP7-AS1	IGFBP7 antisense RNA 1
1557398_at			
1557399_at	284009	LOC284009	uncharacterized LOC284009
1557399_at	79066	METTL16	methyltransferase 16, RNA N6-adenosine
1557400_at			
1557402_at	7745	ZKSCAN8	zinc finger with KRAB and SCAN domains 8
1557403_s_at			
1557404_at			
1557405_at	100130111	LCIIAR	lung cancer immune cell infiltration associated lncRNA
1557406_s_at	100130111	LCIIAR	lung cancer immune cell infiltration associated lncRNA
1557409_at			
1557410_at	100506606	FAR2-AS1	FAR2 antisense RNA 1
1557411_s_at	203427	SLC25A43	solute carrier family 25 member 43
1557413_a_at			
1557415_s_at	137994	LETM2	leucine zipper and EF-hand containing transmembrane protein 2
1557417_s_at	222967	RSPH10B	radial spoke head 10 homolog B
1557417_s_at	728194	RSPH10B2	radial spoke head 10 homolog B2
1557418_at	2182	ACSL4	acyl-CoA synthetase long chain family member 4
1557419_a_at	2182	ACSL4	acyl-CoA synthetase long chain family member 4
1557421_at			
1557422_at			
1557424_at	100505878	LINC02059	long intergenic non-protein coding RNA 2059
1557427_at			
1557429_s_at	196951	FAM227B	family with sequence similarity 227 member B
1557430_at	147670	SMIM17	small integral membrane protein 17
1557431_at			
1557432_at	9462	RASAL2	RAS protein activator like 2
1557433_at			
1557434_at	100506497	CPVL-AS2	CPVL antisense RNA 2
1557436_at	286046	XKR6	XK related 6
1557437_a_at			
1557438_at			
1557439_at	100874238	ARHGEF7-AS2	ARHGEF7 antisense RNA 2
1557443_s_at	100505811	LINC02148	long intergenic non-protein coding RNA 2148
1557444_at	340206	TREML3P	triggering receptor expressed on myeloid cells like 3, pseudogene
1557446_x_at	340206	TREML3P	triggering receptor expressed on myeloid cells like 3, pseudogene
1557448_a_at			
1557450_s_at	440253	WHAMMP2	WHAMM pseudogene 2
1557451_at	26220	DGCR5	DiGeorge syndrome critical region gene 5
1557452_at			
1557453_at			
1557455_s_at	56180	MOSPD1	motile sperm domain containing 1
1557456_a_at			
1557457_at			
1557458_s_at	6461	SHB	SH2 domain containing adaptor protein B
1557459_at			
1557463_at	283692	CPEB1-AS1	CPEB1 antisense RNA 1
1557465_at	283521	TMEM272	transmembrane protein 272
1557466_at	441072	IL6ST-DT	IL6ST divergent transcript
1557468_at			
1557470_at	221178	SPATA13	spermatogenesis associated 13
1557472_a_at	400955	LINC01122	long intergenic non-protein coding RNA 1122
1557474_at	284578	SLC60A1-AS1	SLC60A1 antisense RNA 1
1557475_at	100862680	LINC00507	long intergenic non-protein coding RNA 507
1557476_at	375189	PFN4	profilin family member 4
1557477_at	6786	STIM1	stromal interaction molecule 1
1557478_at			
1557479_at	101928718	LOC101928718	uncharacterized LOC101928718
1557479_at	55924	INKA2	inka box actin regulator 2
1557480_a_at	116729	PPP1R27	protein phosphatase 1 regulatory subunit 27
1557481_a_at	387486	LINC00320	long intergenic non-protein coding RNA 320
1557483_at	284788	LOC284788	uncharacterized LOC284788
1557484_at			
1557486_at	101927547	ANKRD44-IT1	ANKRD44 intronic transcript 1
1557487_at			
1557488_at	645158	CBX3P2	CBX3 pseudogene 2
1557491_at	100240728	LOC100240728	uncharacterized LOC100240728
1557493_x_at	100240728	LOC100240728	uncharacterized LOC100240728
1557495_at			
